User ID,Username,Colour Roles,Message Count
1338326134143586337,thesigmawhitelegionarie_58686,None,479
1332051499194257429,davi060418,None,291
1183094864590671893,f_abricc,None,5
1060011631788179467,kiwiberry9,None,1
1185104579692605455,co_co_rico,None,4
617920845251084298,christiankaarl,None,9
1195118291279151235,jayz0517,None,22
758557476563320834,cqld_,Red,1911
1100488725768716298,fransjansson,None,220
1356687648919388243,ruhrpenchantdiorama,None,15074
1348550911051694124,emperor_napoleon1234,None,12
830495935724257330,danielobjectgpu,None,2
1221152734447800370,swillpo_,None,9
310940169878503426,colt6.9,None,16
572114952169455626,amsmartrobber25,None,224
705209485333102683,fangthegamer641,None,38
1358110697153761372,newgestalt87,None,6
583397169588076556,solaroid.,None,2
998501142399033355,fe_tq,Yellow,572
1189257079035265044,habibiarz,None,7
1104532626355789875,_tactical_burrito_,None,4
1307566374608044056,univstaru,None,5
383573530387677184,vodka6329,None,6
1350388248068882475,rip_thebabbys123_66713,None,1
1195770424022290574,your_friendly_supreme_leader,None,14
996877590944043028,treetea102,None,26
1304412269177733151,donkeylikemeold,None,15
933023182930186290,stauber10,None,151
1051057131970899968,plutopinkman,None,85
1231405780033474622,teto_pearxddx,None,1670
752696063978373160,lyze__45,None,138
1260283168414629950,donjuancho2003,None,1
1334755251663929406,iamdoghistoryanimation,None,91
1012392367837413386,zackx2266,None,30
1160948303198965860,comm0n_,None,17307
1144361076071354408,airbusandboeingfan_61416,None,149
1249332036297162818,alguem0770,None,128
806317980337438812,froggyneverlord,None,682
786153858795307029,asmayapragi,None,4
1120876495133491310,nihtaf_731,None,1
573628105516777503,themisin,None,466
791980223054741504,lawrence_414,None,332
1178352516547743795,soviet.union.captain,Black,3325
1184585391597178933,uhhhh0640,None,43
822869230071578645,soezforcucu,None,2
840413140138721290,time_time109,None,104
1165912462651052062,dikeay,None,7
1310246845489872917,bubbly_starfish_06560,None,1096
781366349842219049,fulllfish,None,32
800563235103178763,augustleaf,None,21
889624108256620574,astridremanus,None,102
1297390032000127029,jgv9,None,4541
1153323675249037322,cubet_,None,1475
688932520032862248,confused0,None,11
1007640117990662256,pooptower_02,None,2393
1319408287354982432,culinating,None,723
243457875102400513,craigy1975,None,1
1038537671808655452,petar8152,None,2
1349872505002790945,samhydeking,None,15
1342071526110924861,fom4811_49225,None,973
1215804326795284654,kaiser.ssa,None,8
1038278893506924595,urbanlore_,None,2
1060477817814523945,kbuppy,None,27
1360291048294973622,eggj_1,None,7
1364069618297344051,111624pussies,None,127
1352689856832078019,obr100,None,1
796963856785080321,leo776.,None,4
748751714877964342,infernox109256,None,14
1316329877741506603,matthaushetzenauer0417_05521,None,1
